# time,Ca_macrophage
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.160440456216405403e-03
2.000000000000000111e-01,1.511619261084810699e-02
3.000000000000000444e-01,3.616576806212344619e-02
4.000000000000000222e-01,6.516438475524599649e-02
5.000000000000000000e-01,1.005570776031062125e-01
6.000000000000000888e-01,1.407462722755799811e-01
7.000000000000000666e-01,1.842527512198472717e-01
8.000000000000000444e-01,2.297827940645542355e-01
9.000000000000000222e-01,2.762479999281278742e-01
1.000000000000000000e+00,3.227606283071045579e-01
1.100000000000000089e+00,3.686168376096327637e-01
1.200000000000000178e+00,4.132747509970712829e-01
1.300000000000000044e+00,4.563311794662965326e-01
1.400000000000000133e+00,4.974991474029315519e-01
1.500000000000000000e+00,5.365872893173628810e-01
1.600000000000000089e+00,5.734815889146530621e-01
1.700000000000000178e+00,6.081295925162766292e-01
1.800000000000000044e+00,6.405269843601959501e-01
1.900000000000000133e+00,6.707063513974328428e-01
2.000000000000000000e+00,6.987278940071393052e-01
2.100000000000000089e+00,7.246718305499327828e-01
2.200000000000000178e+00,7.486322713689497199e-01
2.300000000000000266e+00,7.707122984731928916e-01
2.400000000000000355e+00,7.910200967010936335e-01
2.500000000000000000e+00,8.096659304201737628e-01
2.600000000000000089e+00,8.267598234585370465e-01
2.700000000000000178e+00,8.424098122564653846e-01
2.800000000000000266e+00,8.567206617309036654e-01
2.900000000000000355e+00,8.697929534472992330e-01
3.000000000000000000e+00,8.817224695100575049e-01
3.100000000000000089e+00,8.925998092022406905e-01
3.200000000000000178e+00,9.025101884834026977e-01
3.300000000000000266e+00,9.115333787449958480e-01
3.400000000000000355e+00,9.197437519875835132e-01
3.500000000000000000e+00,9.272104047457595533e-01
3.600000000000000089e+00,9.339973390970623957e-01
3.700000000000000178e+00,9.401636822979456687e-01
3.800000000000000266e+00,9.457639342821103634e-01
3.900000000000000355e+00,9.508482283244241717e-01
4.000000000000000000e+00,9.554625998876077331e-01
4.100000000000000533e+00,9.596492557083801112e-01
4.200000000000000178e+00,9.634468389297579094e-01
4.299999999999999822e+00,9.668906866678758094e-01
4.400000000000000355e+00,9.700130782231128901e-01
4.500000000000000000e+00,9.728434705568974605e-01
4.600000000000000533e+00,9.754087222361507159e-01
4.700000000000000178e+00,9.777333037415343320e-01
4.800000000000000711e+00,9.798394944135151441e-01
4.900000000000000355e+00,9.817475661286555466e-01
5.000000000000000000e+00,9.834759540100208586e-01
5.100000000000000533e+00,9.850414145267084587e-01
5.200000000000000178e+00,9.864591715609870581e-01
5.300000000000000711e+00,9.877430510436808753e-01
5.400000000000000355e+00,9.889056047971548358e-01
5.500000000000000000e+00,9.899582242641329355e-01
5.600000000000000533e+00,9.909112447795123124e-01
5.700000000000000178e+00,9.917740410058651923e-01
5.800000000000000711e+00,9.925551142185148334e-01
5.900000000000000355e+00,9.932621722869294789e-01
6.000000000000000000e+00,9.939022017109350182e-01
6.100000000000000533e+00,9.944815339336030569e-01
6.200000000000000178e+00,9.950059073993166026e-01
6.300000000000000711e+00,9.954805210768179480e-01
6.400000000000000355e+00,9.959100845576480676e-01
6.500000000000000000e+00,9.962988646590503761e-01
6.600000000000000533e+00,9.966507247793841007e-01
6.700000000000000178e+00,9.969691643178115736e-01
6.800000000000000711e+00,9.972573520439607098e-01
6.900000000000000355e+00,9.975181576740071998e-01
7.000000000000000000e+00,9.977541791307821262e-01
7.100000000000000533e+00,9.979677686684321758e-01
7.200000000000000178e+00,9.981610557435001141e-01
7.300000000000000711e+00,9.983359682011938574e-01
7.400000000000000355e+00,9.984942510943520810e-01
7.500000000000000000e+00,9.986374842728414913e-01
7.600000000000000533e+00,9.987670975157207920e-01
7.700000000000000178e+00,9.988843849171510358e-01
7.800000000000000711e+00,9.989905180266198670e-01
7.900000000000000355e+00,9.990865569867605211e-01
8.000000000000000000e+00,9.991734613307601265e-01
8.099999999999999645e+00,9.992520994821201263e-01
8.200000000000001066e+00,9.993232573808114028e-01
8.300000000000000711e+00,9.993876462955525453e-01
8.400000000000000355e+00,9.994459099063570662e-01
8.500000000000000000e+00,9.994986307415749671e-01
8.599999999999999645e+00,9.995463359263924152e-01
8.700000000000001066e+00,9.995895024686487496e-01
8.800000000000000711e+00,9.996285621248843789e-01
8.900000000000000355e+00,9.996639055523839357e-01
9.000000000000000000e+00,9.996958862259319734e-01
9.099999999999999645e+00,9.997248240908761518e-01
9.200000000000001066e+00,9.997510085785309419e-01
9.300000000000000711e+00,9.997747016176086188e-01
9.400000000000000355e+00,9.997961402157934385e-01
9.500000000000000000e+00,9.998155387624972912e-01
9.600000000000001421e+00,9.998330916605442376e-01
9.700000000000001066e+00,9.998489742562548521e-01
9.800000000000000711e+00,9.998633456593358781e-01
9.900000000000000355e+00,9.998763494617234349e-01
1.000000000000000000e+01,9.998881159568044907e-01
1.010000000000000142e+01,9.998987627197082340e-01
1.020000000000000107e+01,9.999083964471380259e-01
