# time,IL6_macrophage
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,9.516258198514759847e-02
2.000000000000000111e-01,1.812692469516018201e-01
3.000000000000000444e-01,2.591817793379183610e-01
4.000000000000000222e-01,3.296799539703866855e-01
5.000000000000000000e-01,3.934693402992581746e-01
6.000000000000000888e-01,4.511883639175626737e-01
7.000000000000000666e-01,5.034146962281449422e-01
8.000000000000000444e-01,5.506710359092854556e-01
9.000000000000000222e-01,5.934303402913615466e-01
1.000000000000000000e+00,6.321205588860502322e-01
1.100000000000000089e+00,6.671289163828001412e-01
1.200000000000000178e+00,6.988057881955086481e-01
1.300000000000000044e+00,7.274682070900777564e-01
1.400000000000000133e+00,7.534030361980343926e-01
1.500000000000000000e+00,7.768698401434902534e-01
1.600000000000000089e+00,7.981034824150073925e-01
1.700000000000000178e+00,8.173164764604503585e-01
1.800000000000000044e+00,8.347011123747949402e-01
1.900000000000000133e+00,8.504313814375582536e-01
2.000000000000000000e+00,8.646647174660986312e-01
2.100000000000000089e+00,8.775435726832335748e-01
2.200000000000000178e+00,8.891968426899105049e-01
2.300000000000000266e+00,8.997411574092228914e-01
2.400000000000000355e+00,9.092820478680954110e-01
2.500000000000000000e+00,9.179150024665572172e-01
2.600000000000000089e+00,9.257264226537141871e-01
2.700000000000000178e+00,9.327944876064043767e-01
2.800000000000000266e+00,9.391899366324264475e-01
2.900000000000000355e+00,9.449767770392675237e-01
3.000000000000000000e+00,9.502129245885392317e-01
3.100000000000000089e+00,9.549507829453002250e-01
3.200000000000000178e+00,9.592377677709441608e-01
3.300000000000000266e+00,9.631167808096708915e-01
3.400000000000000355e+00,9.666266385811878026e-01
3.500000000000000000e+00,9.698024599509766919e-01
3.600000000000000089e+00,9.726760163672500958e-01
3.700000000000000178e+00,9.752760484326152834e-01
3.800000000000000266e+00,9.776285513900812019e-01
3.900000000000000355e+00,9.797570330533451610e-01
4.000000000000000000e+00,9.816827461592172455e-01
4.100000000000000533e+00,9.834248977363160282e-01
4.200000000000000178e+00,9.850008375000040006e-01
4.299999999999999822e+00,9.864262272746878724e-01
4.400000000000000355e+00,9.877151927401048859e-01
4.500000000000000000e+00,9.888804601918015358e-01
4.600000000000000533e+00,9.899334784741524729e-01
4.700000000000000178e+00,9.908845283082282629e-01
4.800000000000000711e+00,9.917428200560588492e-01
4.900000000000000355e+00,9.925165810828713298e-01
5.000000000000000000e+00,9.932131338833236622e-01
5.100000000000000533e+00,9.938389659241914087e-01
5.200000000000000178e+00,9.943997922060880956e-01
5.300000000000000711e+00,9.949006114501479647e-01
5.400000000000000355e+00,9.953457567154917474e-01
5.500000000000000000e+00,9.957389412313331079e-01
5.600000000000000533e+00,9.960833001244343565e-01
5.700000000000000178e+00,9.963814286530240372e-01
5.800000000000000711e+00,9.966354175689272621e-01
5.900000000000000355e+00,9.968468862954403820e-01
6.000000000000000000e+00,9.970170133758117226e-01
6.100000000000000533e+00,9.971465659138331050e-01
6.200000000000000178e+00,9.972359292682241305e-01
6.300000000000000711e+00,9.972851331824094112e-01
6.400000000000000355e+00,9.972938781290123789e-01
6.500000000000000000e+00,9.972615626343069861e-01
6.600000000000000533e+00,9.971873065941284642e-01
6.700000000000000178e+00,9.970699785744714383e-01
6.800000000000000711e+00,9.969082200452866749e-01
6.900000000000000355e+00,9.967004707596374136e-01
7.000000000000000000e+00,9.964449918975784026e-01
7.100000000000000533e+00,9.961398909913975475e-01
7.200000000000000178e+00,9.957831451995200478e-01
7.300000000000000711e+00,9.953726247057352872e-01
7.400000000000000355e+00,9.949061154889391467e-01
7.500000000000000000e+00,9.943813416954201401e-01
7.600000000000000533e+00,9.937959860973345494e-01
7.700000000000000178e+00,9.931477111271328484e-01
7.800000000000000711e+00,9.924341792945922114e-01
7.900000000000000355e+00,9.916530709262122434e-01
8.000000000000000000e+00,9.908021023896197432e-01
8.099999999999999645e+00,9.898790427181657359e-01
8.200000000000001066e+00,9.888817291410689769e-01
8.300000000000000711e+00,9.878080812343882355e-01
8.400000000000000355e+00,9.866561141080382180e-01
8.500000000000000000e+00,9.854239502561322750e-01
8.599999999999999645e+00,9.841098300907520358e-01
8.700000000000001066e+00,9.827121211539004975e-01
8.800000000000000711e+00,9.812293265252668428e-01
8.900000000000000355e+00,9.796600912165490671e-01
9.000000000000000000e+00,9.780032078445891619e-01
9.099999999999999645e+00,9.762576214278283482e-01
9.200000000000001066e+00,9.744224320910063186e-01
9.300000000000000711e+00,9.724968976288412836e-01
9.400000000000000355e+00,9.704804346017118499e-01
9.500000000000000000e+00,9.683726182942024030e-01
9.600000000000001421e+00,9.661731838286093943e-01
9.700000000000001066e+00,9.638820207195267775e-01
9.800000000000000711e+00,9.614991747133960764e-01
9.900000000000000355e+00,9.590248411989925614e-01
1.000000000000000000e+01,9.564593647735597504e-01
1.010000000000000142e+01,9.538032319584792695e-01
1.020000000000000107e+01,9.510570692008054605e-01
1.030000000000000071e+01,9.482216349610717021e-01
1.040000000000000036e+01,9.452978164934067173e-01
1.050000000000000000e+01,9.422866219122565390e-01
1.060000000000000142e+01,9.391891756637175126e-01
1.070000000000000107e+01,9.360067106765700418e-01
1.080000000000000071e+01,9.327405635361993852e-01
1.090000000000000036e+01,9.293921657607884246e-01
1.100000000000000000e+01,9.259630384667097980e-01
1.110000000000000142e+01,9.224547852297220185e-01
1.120000000000000107e+01,9.188690853725436369e-01
1.130000000000000071e+01,9.152076875097941988e-01
1.140000000000000036e+01,9.114724028412599655e-01
1.150000000000000000e+01,9.076650986194904069e-01
1.160000000000000142e+01,9.037876921030312261e-01
1.170000000000000107e+01,8.998421437815113944e-01
1.180000000000000071e+01,8.958304524727260798e-01
1.190000000000000036e+01,8.917546484830862763e-01
1.200000000000000000e+01,8.876167888141706097e-01
1.210000000000000142e+01,8.834189516325724467e-01
1.220000000000000107e+01,8.791632311963234470e-01
1.230000000000000071e+01,8.748517328951769256e-01
1.240000000000000036e+01,8.704865688089034048e-01
1.250000000000000000e+01,8.660698533321939951e-01
1.260000000000000142e+01,8.616036990037942989e-01
1.270000000000000107e+01,8.570902127771456991e-01
1.280000000000000071e+01,8.525314922721356492e-01
1.290000000000000036e+01,8.479296227061410285e-01
1.300000000000000000e+01,8.432866734005277642e-01
1.310000000000000142e+01,8.386046952783617892e-01
1.320000000000000107e+01,8.338857178253508140e-01
1.330000000000000071e+01,8.291317470988104343e-01
1.340000000000000036e+01,8.243447627954413326e-01
1.350000000000000000e+01,8.195267173597099442e-01
1.360000000000000142e+01,8.146795328629823363e-01
1.370000000000000107e+01,8.098051006522394291e-01
1.380000000000000071e+01,8.049052786624751876e-01
1.390000000000000036e+01,7.999818913359688644e-01
1.400000000000000000e+01,7.950367274504880344e-01
1.410000000000000142e+01,7.900715400552172918e-01
1.420000000000000107e+01,7.850880449603236944e-01
1.430000000000000071e+01,7.800879205740495204e-01
1.440000000000000036e+01,7.750728070630001909e-01
1.450000000000000000e+01,7.700443065583932878e-01
1.460000000000000142e+01,7.650039821931859940e-01
1.470000000000000107e+01,7.599533566806798701e-01
1.480000000000000071e+01,7.548939127733870214e-01
1.490000000000000036e+01,7.498270977314644981e-01
1.500000000000000000e+01,7.447543180372140359e-01
1.510000000000000142e+01,7.396769397582811933e-01
1.520000000000000107e+01,7.345962907975654987e-01
1.530000000000000071e+01,7.295136629992536870e-01
1.540000000000000036e+01,7.244303080096087255e-01
1.550000000000000000e+01,7.193474389728625740e-01
1.560000000000000142e+01,7.142662332975474593e-01
1.570000000000000107e+01,7.091878314998136812e-01
1.580000000000000071e+01,7.041133366408814931e-01
1.590000000000000036e+01,6.990438157455043378e-01
1.600000000000000000e+01,6.939803024664004116e-01
1.610000000000000142e+01,6.889237949396658234e-01
1.619999999999999929e+01,6.838752568377187702e-01
1.630000000000000071e+01,6.788356188347949294e-01
1.640000000000000213e+01,6.738057795273504347e-01
1.650000000000000000e+01,6.687866048848406519e-01
1.660000000000000142e+01,6.637789293603814089e-01
1.669999999999999929e+01,6.587835573145806034e-01
1.680000000000000071e+01,6.538012632008926017e-01
1.690000000000000213e+01,6.488327921167730272e-01
1.700000000000000000e+01,6.438788605212467653e-01
1.710000000000000142e+01,6.389401569177175499e-01
1.719999999999999929e+01,6.340173425869156665e-01
1.730000000000000071e+01,6.291110523622319706e-01
1.740000000000000213e+01,6.242218954539373588e-01
1.750000000000000000e+01,6.193504559092903872e-01
1.760000000000000142e+01,6.144972933650935110e-01
1.769999999999999929e+01,6.096629436365452737e-01
1.780000000000000071e+01,6.048479195244691464e-01
1.790000000000000213e+01,6.000527114207071522e-01
1.800000000000000000e+01,5.952777875563425303e-01
1.810000000000000142e+01,5.905235949912747140e-01
1.819999999999999929e+01,5.857905602325242933e-01
1.830000000000000071e+01,5.810790897002632294e-01
1.840000000000000213e+01,5.763895704158248368e-01
1.850000000000000000e+01,5.717223706652867499e-01
1.860000000000000142e+01,5.670778403321273808e-01
1.869999999999999929e+01,5.624563114463173585e-01
1.880000000000000071e+01,5.578580990194516032e-01
1.890000000000000213e+01,5.532835013611264730e-01
1.900000000000000000e+01,5.487328003802470766e-01
1.910000000000000142e+01,5.442062625065235970e-01
1.920000000000000284e+01,5.397041390378775061e-01
1.930000000000000071e+01,5.352266663516710432e-01
1.940000000000000213e+01,5.307740667332487838e-01
1.950000000000000000e+01,5.263465487675076382e-01
1.960000000000000142e+01,5.219443072908901415e-01
1.970000000000000284e+01,5.175675244160163890e-01
1.980000000000000071e+01,5.132163699911835852e-01
1.990000000000000213e+01,5.088910019972650023e-01
2.000000000000000000e+01,5.045915663975190091e-01
2.010000000000000142e+01,5.003181971694370400e-01
2.020000000000000284e+01,4.960710179816550935e-01
2.030000000000000071e+01,4.918501420966732152e-01
2.040000000000000213e+01,4.876556726976470912e-01
2.050000000000000000e+01,4.834877022412872316e-01
2.060000000000000142e+01,4.793463139029581210e-01
2.070000000000000284e+01,4.752315819316963452e-01
2.080000000000000071e+01,4.711435718508919512e-01
2.090000000000000213e+01,4.670823402715001960e-01
2.100000000000000000e+01,4.630479348188953348e-01
2.110000000000000142e+01,4.590403956350426196e-01
2.120000000000000284e+01,4.550597552206380736e-01
2.130000000000000071e+01,4.511060386911627251e-01
2.140000000000000213e+01,4.471792633217781532e-01
2.150000000000000000e+01,4.432794396007662674e-01
2.160000000000000142e+01,4.394065715210273559e-01
2.170000000000000284e+01,4.355606567376652527e-01
2.180000000000000071e+01,4.317416864519480479e-01
2.190000000000000213e+01,4.279496453406374523e-01
2.200000000000000000e+01,4.241845127011950600e-01
2.210000000000000142e+01,4.204462623433177226e-01
2.220000000000000284e+01,4.167348627677373574e-01
2.230000000000000071e+01,4.130502765485565275e-01
2.240000000000000213e+01,4.093924614540523366e-01
2.250000000000000000e+01,4.057613706644609963e-01
2.260000000000000142e+01,4.021569528309440478e-01
2.270000000000000284e+01,3.985791522150743393e-01
2.280000000000000071e+01,3.950279080597242087e-01
2.290000000000000213e+01,3.915031557177149346e-01
2.300000000000000000e+01,3.880048267776663451e-01
2.310000000000000142e+01,3.845328491147553818e-01
2.320000000000000284e+01,3.810871469935284139e-01
2.330000000000000071e+01,3.776676405194614450e-01
2.340000000000000213e+01,3.742742466694484738e-01
2.350000000000000000e+01,3.709068793492096283e-01
2.360000000000000142e+01,3.675654494502901271e-01
2.370000000000000284e+01,3.642498649078710904e-01
2.380000000000000071e+01,3.609600301382291931e-01
2.390000000000000213e+01,3.576958470784100119e-01
2.400000000000000000e+01,3.544572151712473418e-01
2.410000000000000142e+01,3.512440314103228989e-01
2.420000000000000284e+01,3.480561904016993835e-01
2.430000000000000071e+01,3.448935840743685421e-01
2.440000000000000213e+01,3.417561023644469231e-01
2.450000000000000000e+01,3.386436332201432919e-01
2.460000000000000142e+01,3.355560626762173482e-01
2.470000000000000284e+01,3.324932748743543720e-01
2.480000000000000071e+01,3.294551517185631551e-01
2.490000000000000213e+01,3.264415736283813319e-01
2.500000000000000000e+01,3.234524194849763834e-01
2.510000000000000142e+01,3.204875666897480935e-01
2.520000000000000284e+01,3.175468911386374327e-01
2.530000000000000071e+01,3.146302668612809272e-01
2.540000000000000213e+01,3.117375668485731777e-01
2.550000000000000000e+01,3.088686629280822382e-01
2.560000000000000142e+01,3.060234258111598216e-01
2.570000000000000284e+01,3.032017251793479584e-01
2.580000000000000071e+01,3.004034293714324400e-01
2.590000000000000213e+01,2.976284056957299029e-01
2.600000000000000000e+01,2.948765207542725642e-01
2.610000000000000142e+01,2.921476403501724328e-01
2.620000000000000284e+01,2.894416295648581383e-01
2.630000000000000071e+01,2.867583527259971454e-01
2.640000000000000213e+01,2.840976731197480953e-01
2.650000000000000000e+01,2.814594536463344565e-01
2.660000000000000142e+01,2.788435567082573896e-01
2.670000000000000284e+01,2.762498442434944135e-01
2.680000000000000071e+01,2.736781777861845844e-01
2.690000000000000213e+01,2.711284181151086825e-01
2.700000000000000000e+01,2.686004255646119443e-01
2.710000000000000142e+01,2.660940603115696801e-01
2.720000000000000284e+01,2.636091822594575640e-01
2.730000000000000071e+01,2.611456510906265405e-01
2.740000000000000213e+01,2.587033262639866216e-01
2.750000000000000000e+01,2.562820668967005222e-01
2.760000000000000142e+01,2.538817320927281296e-01
2.770000000000000284e+01,2.515021809023378352e-01
2.780000000000000071e+01,2.491432723543709482e-01
2.790000000000000213e+01,2.468048654994559610e-01
2.800000000000000000e+01,2.444868192046024957e-01
2.810000000000000142e+01,2.421889923573416759e-01
2.820000000000000284e+01,2.399112440345281261e-01
2.830000000000000071e+01,2.376534334437524765e-01
2.840000000000000213e+01,2.354154199621576182e-01
2.850000000000000000e+01,2.331970630762909558e-01
2.860000000000000142e+01,2.309982221317591067e-01
2.870000000000000284e+01,2.288187568510703374e-01
2.880000000000000071e+01,2.266585272074312374e-01
2.890000000000000213e+01,2.245173934305576824e-01
2.900000000000000000e+01,2.223952160349038365e-01
2.910000000000000142e+01,2.202918558013808870e-01
2.920000000000000284e+01,2.182071738375111203e-01
2.930000000000000071e+01,2.161410316272232568e-01
2.940000000000000213e+01,2.140932910408849532e-01
2.950000000000000000e+01,2.120638143628426064e-01
2.960000000000000142e+01,2.100524647495781716e-01
2.970000000000000284e+01,2.080591038232159629e-01
2.980000000000000071e+01,2.060835960963278146e-01
2.990000000000000213e+01,2.041258054026146851e-01
3.000000000000000000e+01,2.021855961320745965e-01
3.010000000000000142e+01,2.002628332268339140e-01
3.020000000000000284e+01,1.983573819406859173e-01
3.030000000000000071e+01,1.964691079613082869e-01
3.040000000000000213e+01,1.945978775319663900e-01
3.050000000000000000e+01,1.927435574834989729e-01
3.060000000000000142e+01,1.909060153741220511e-01
3.070000000000000284e+01,1.890851192084392063e-01
3.080000000000000071e+01,1.872807375446271239e-01
3.090000000000000213e+01,1.854927395646374377e-01
3.100000000000000000e+01,1.837209950023926397e-01
3.110000000000000142e+01,1.819653741515148138e-01
3.120000000000000284e+01,1.802257479611155677e-01
3.130000000000000071e+01,1.785019880030944139e-01
3.140000000000000213e+01,1.767939664137387346e-01
3.150000000000000000e+01,1.751015548122121235e-01
3.160000000000000142e+01,1.734246300282165643e-01
3.170000000000000284e+01,1.717630631524347806e-01
3.180000000000000071e+01,1.701167296408326035e-01
3.190000000000000213e+01,1.684855055404957391e-01
3.200000000000000000e+01,1.668692667526167350e-01
3.210000000000000142e+01,1.652678892858985282e-01
3.220000000000000284e+01,1.636812515792533673e-01
3.230000000000000426e+01,1.621092316085156748e-01
3.239999999999999858e+01,1.605517070892402143e-01
3.250000000000000000e+01,1.590085586093683001e-01
3.260000000000000142e+01,1.574796663890081494e-01
3.270000000000000284e+01,1.559649118926897116e-01
3.280000000000000426e+01,1.544641728909545708e-01
3.289999999999999858e+01,1.529773361561977962e-01
3.300000000000000000e+01,1.515042826338638127e-01
3.310000000000000142e+01,1.500448962767059191e-01
3.320000000000000284e+01,1.485990617641317624e-01
3.330000000000000426e+01,1.471666640386245783e-01
3.339999999999999858e+01,1.457475890152630793e-01
3.350000000000000000e+01,1.443417235817211486e-01
3.360000000000000142e+01,1.429489552549587650e-01
3.370000000000000284e+01,1.415691712822602921e-01
3.380000000000000426e+01,1.402022604360471936e-01
3.389999999999999858e+01,1.388481124060429173e-01
3.400000000000000000e+01,1.375066177138557777e-01
3.410000000000000142e+01,1.361776677115368317e-01
3.420000000000000284e+01,1.348611540552783483e-01
3.430000000000000426e+01,1.335569690007964161e-01
3.439999999999999858e+01,1.322650058531285588e-01
3.450000000000000000e+01,1.309851586730687023e-01
3.460000000000000142e+01,1.297173222771678680e-01
3.470000000000000284e+01,1.284613921794813818e-01
3.480000000000000426e+01,1.272172642162704426e-01
3.489999999999999858e+01,1.259848351083326101e-01
3.500000000000000000e+01,1.247640023466564385e-01
3.510000000000000142e+01,1.235546641318780448e-01
3.520000000000000284e+01,1.223567193742806508e-01
3.530000000000000426e+01,1.211700528130667809e-01
3.539999999999999858e+01,1.199946043486609382e-01
3.550000000000000000e+01,1.188302458463341149e-01
3.560000000000000142e+01,1.176768816351978497e-01
3.570000000000000284e+01,1.165344160443635840e-01
3.580000000000000426e+01,1.154027534203076466e-01
3.589999999999999858e+01,1.142817984449912283e-01
3.600000000000000000e+01,1.131714557916572717e-01
3.610000000000000142e+01,1.120716304614667175e-01
3.620000000000000284e+01,1.109822292766632079e-01
3.630000000000000426e+01,1.099031583822208252e-01
3.639999999999999858e+01,1.088343251879376333e-01
3.650000000000000000e+01,1.077756388775804319e-01
3.660000000000000142e+01,1.067270086462761697e-01
3.670000000000000284e+01,1.056883416856734120e-01
3.680000000000000426e+01,1.046595513677931744e-01
3.689999999999999858e+01,1.036405472665312133e-01
3.700000000000000000e+01,1.026312416348210410e-01
3.710000000000000142e+01,1.016315468178672771e-01
3.720000000000000284e+01,1.006413758828187538e-01
3.730000000000000426e+01,9.966064283505654542e-02
3.739999999999999858e+01,9.868926253462753651e-02
3.750000000000000000e+01,9.772714963209824801e-02
3.760000000000000142e+01,9.677421985467454801e-02
3.770000000000000284e+01,9.583038996110394836e-02
3.780000000000000426e+01,9.489557750618732301e-02
3.789999999999999858e+01,9.396970082443031891e-02
3.800000000000000000e+01,9.305267819306076160e-02
3.810000000000000142e+01,9.214442853296722635e-02
3.820000000000000284e+01,9.124487175465514910e-02
3.830000000000000426e+01,9.035392844374520727e-02
3.840000000000000568e+01,8.947151986097330589e-02
3.850000000000000000e+01,8.859756776457185234e-02
3.860000000000000142e+01,8.773199444988895312e-02
3.870000000000000284e+01,8.687472297843233660e-02
3.880000000000000426e+01,8.602567705317368252e-02
3.890000000000000568e+01,8.518478101853760309e-02
3.900000000000000000e+01,8.435195022305945478e-02
3.910000000000000142e+01,8.352713565251342065e-02
3.920000000000000284e+01,8.271024405285792858e-02
3.930000000000000426e+01,8.190120409389076150e-02
3.940000000000000568e+01,8.109994444540970238e-02
3.950000000000000000e+01,8.030639381898510565e-02
3.960000000000000142e+01,7.952048110320958374e-02
3.970000000000000284e+01,7.874213516395273116e-02
3.980000000000000426e+01,7.797128609785468345e-02
3.990000000000000568e+01,7.720786419732485195e-02
4.000000000000000000e+01,7.645180014891909959e-02
4.010000000000000142e+01,7.570302611135985849e-02
4.020000000000000284e+01,7.496147407284681208e-02
4.030000000000000426e+01,7.422707618446358624e-02
4.040000000000000568e+01,7.349976657870962993e-02
4.050000000000000000e+01,7.277947885109205262e-02
4.060000000000000142e+01,7.206614778124761922e-02
4.070000000000000284e+01,7.135970809528226211e-02
4.080000000000000426e+01,7.066009522925152664e-02
4.090000000000000568e+01,6.996724532916065442e-02
4.100000000000000000e+01,6.928109525096461108e-02
4.110000000000000142e+01,6.860158239235852884e-02
4.120000000000000284e+01,6.792864395187067639e-02
4.130000000000000426e+01,6.726221823565978197e-02
4.140000000000000568e+01,6.660224428866759472e-02
4.150000000000000000e+01,6.594866178927502598e-02
4.160000000000000142e+01,6.530141104930187179e-02
4.170000000000000284e+01,6.466043301041231317e-02
4.180000000000000426e+01,6.402566834047423994e-02
4.190000000000000568e+01,6.339705805385208170e-02
