# time,IL6_macrophage
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.684415331850018373e-36
2.000000000000000111e-01,2.578921563078941760e-29
3.000000000000000444e-01,2.763529563135053714e-25
4.000000000000000222e-01,1.794043929429751585e-22
5.000000000000000000e-01,2.548442291311188939e-20
6.000000000000000888e-01,1.374506482064084626e-18
7.000000000000000666e-01,3.845075738359893301e-17
8.000000000000000444e-01,6.522253316970397860e-16
9.000000000000000222e-01,7.604730117271499731e-15
1.000000000000000000e+00,6.615123115548541854e-14
1.100000000000000089e+00,4.549005705673780417e-13
1.200000000000000178e+00,2.566904209367906365e-12
1.300000000000000044e+00,1.227466150747851021e-11
1.400000000000000133e+00,5.107192402136619501e-11
1.500000000000000000e+00,1.884076851903173535e-10
1.600000000000000089e+00,6.267434807117915452e-10
1.700000000000000178e+00,1.900141726882248809e-09
1.800000000000000044e+00,5.311431070939248014e-09
1.900000000000000133e+00,1.381435509730856722e-08
2.000000000000000000e+00,3.368547715877307355e-08
2.100000000000000089e+00,7.750755524767493057e-08
2.200000000000000178e+00,1.692162973818688860e-07
2.300000000000000266e+00,3.522272827584902758e-07
2.400000000000000355e+00,7.019210794341974776e-07
2.500000000000000000e+00,1.344144316659687898e-06
2.600000000000000089e+00,2.481444766996970108e-06
2.700000000000000178e+00,4.429089490415410653e-06
2.800000000000000266e+00,7.662824125558044666e-06
2.900000000000000355e+00,1.288023574452120140e-05
3.000000000000000000e+00,2.107725112230088996e-05
3.100000000000000089e+00,3.364076175902125517e-05
3.200000000000000178e+00,5.245766523154347141e-05
3.300000000000000266e+00,8.003969928425984847e-05
3.400000000000000355e+00,1.196624574705280598e-04
3.500000000000000000e+00,1.755158867410640158e-04
3.600000000000000089e+00,2.528624967992946474e-04
3.700000000000000178e+00,3.581984012400984941e-04
3.800000000000000266e+00,4.994121622381747939e-04
3.900000000000000355e+00,6.859340919185554723e-04
4.000000000000000000e+00,9.288702823990798579e-04
4.100000000000000533e+00,1.241114818801095478e-03
4.200000000000000178e+00,1.637432813479356439e-03
4.299999999999999822e+00,2.134509135305513033e-03
4.400000000000000355e+00,2.750957960597852185e-03
4.500000000000000000e+00,3.507288698486141221e-03
4.600000000000000533e+00,4.425825839965555862e-03
4.700000000000000178e+00,5.530582174742102765e-03
4.800000000000000711e+00,6.847084286217153953e-03
4.900000000000000355e+00,8.402154368587304994e-03
5.000000000000000000e+00,1.022364985573467541e-02
5.100000000000000533e+00,1.234016651277341364e-02
5.200000000000000178e+00,1.478071073445385089e-02
5.300000000000000711e+00,1.757434726429776134e-02
5.400000000000000355e+00,2.074983019986650565e-02
5.500000000000000000e+00,2.433522567516732682e-02
5.600000000000000533e+00,2.835753432756417045e-02
5.700000000000000178e+00,3.284231946425531651e-02
5.800000000000000711e+00,3.781335057688536838e-02
5.900000000000000355e+00,4.329227000976987316e-02
6.000000000000000000e+00,4.929828689107643852e-02
6.100000000000000533e+00,5.584790506853240522e-02
6.200000000000000178e+00,6.295468937002124399e-02
6.300000000000000711e+00,7.062907369058508966e-02
6.400000000000000355e+00,7.887821324799582090e-02
6.500000000000000000e+00,8.770588185161513894e-02
6.600000000000000533e+00,9.711241593558751772e-02
6.700000000000000178e+00,1.070947025126038205e-01
6.800000000000000711e+00,1.176462111656826487e-01
6.900000000000000355e+00,1.287570668385959738e-01
7.000000000000000000e+00,1.404141611120033328e-01
7.100000000000000533e+00,1.526012982588413891e-01
7.200000000000000178e+00,1.652993716899825161e-01
7.300000000000000711e+00,1.784865666152970487e-01
7.400000000000000355e+00,1.921385856894698430e-01
7.500000000000000000e+00,2.062288921824112498e-01
7.600000000000000533e+00,2.207289658865382309e-01
7.700000000000000178e+00,2.356085682426866112e-01
7.800000000000000711e+00,2.508360113348974130e-01
7.900000000000000355e+00,2.663784375420906181e-01
8.000000000000000000e+00,2.822020765570269485e-01
8.099999999999999645e+00,2.982725196682284863e-01
8.200000000000001066e+00,3.145549659395953102e-01
8.300000000000000711e+00,3.310144779601792431e-01
8.400000000000000355e+00,3.476162030261385483e-01
8.500000000000000000e+00,3.643256016155217991e-01
8.599999999999999645e+00,3.811086394759636287e-01
8.700000000000001066e+00,3.979319812632709508e-01
8.800000000000000711e+00,4.147631533153147698e-01
8.900000000000000355e+00,4.315706939415558940e-01
9.000000000000000000e+00,4.483242909357332273e-01
9.099999999999999645e+00,4.649948897241336643e-01
9.200000000000001066e+00,4.815547935974074378e-01
9.300000000000000711e+00,4.979777446737920221e-01
9.400000000000000355e+00,5.142389875131924137e-01
9.500000000000000000e+00,5.303153188936911011e-01
9.600000000000001421e+00,5.461851169582829790e-01
9.700000000000001066e+00,5.618283676665261073e-01
