index, species, control,cpd43,LPS,TLR,PI3K_macrophage,Akt_macrophage,FPR1,FPR2,Ca_macrophage,CALM,PPP3CA,NFAT_macrophage,cAMP_macrophage,Ras_macrophage,MEKK1_macrophage,ERK_macrophage,Hsp27,AP1_macrophage,CCL2,p38_macrophage,NFKB_macrophage,IL10mRNA,IL1mRNA,IL6mRNA,TNFamRNA,IL1_macrophage,IL1_extracellular,IL6_macrophage,IL6_extracellular,TNFa_macrophage,TNFa_extracellular,IL10
cpd43,0.15803013970698648,,0.015803013970698644,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648,0.15803013970698648
LPS,0.2499886499382508,,0.2499886499382508,0.02499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.2499886499382508,0.24998864993825082
TLR,0.14892658066069722,,0.14892658066069722,0.005965224171082321,0.014892658066069719,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722,0.14892658066069722
PI3K_macrophage,0.07211690403869196,,0.07211690403869196,0.0007999614004222598,0.0028795258931749784,0.0072116904038691965,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196,0.07211690403869196
Akt_macrophage,0.025853498185558405,,0.025853498185558405,4.742461872105408e-05,0.00028495473270731693,0.0010303385807187233,0.002585349818555841,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405,0.025853498185558405
FPR1,0.07176702799630698,,0.002865599571113757,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.0071767027996306985,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698
FPR2,0.07176702799630698,,0.002865599571113757,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.0071767027996306985,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698,0.07176702799630698
Ca_macrophage,0.04455964491611472,,0.0004966075488859596,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.02341761868625015,0.02341761868625015,0.00445596449161147,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.04455964491611472,0.044559644916114714,0.04455964491611471
CALM,0.010668286521906857,,1.963936099180797e-05,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.0043280855412393855,0.0043280855412393855,0.0004249076386383319,0.001066828652190686,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857,0.010668286521906857
PPP3CA,0.0012825558771893853,,1.8959416293921512e-07,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.00036194884409916633,0.00036194884409916633,1.4071450180540958e-05,5.106244374230866e-05,0.00012825558771893854,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853,0.0012825558771893853
